#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
1,apptus,1,1,,2900,https://www.apptus.com/,1,778,3,1/23/2020 6:45,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
2,apptus,1,1,,2900,https://www.apptus.com/career,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
3,apptus,1,1,,2900,https://www.apptus.com/customers,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
4,apptus,1,1,,2900,https://www.apptus.com/about,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
5,apptus,1,1,,2900,https://www.apptus.com/product/esales-enterprise,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
6,apptus,1,1,,2900,https://www.apptus.com/log-in,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
7,apptus,1,1,,2900,https://www.apptus.com/contact,1,14,3,1/23/2020 6:45,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",apptus.com
8,apptus com,1,1,,20,https://www.apptus.com/,6,7,0.6,12/27/2019 2:46,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack",apptus.com
9,apttus logo,4,8,12/19/2019 4:26,80,https://www.apptus.com/,32,7,,1/19/2020 12:53,,"Sitelinks, People also ask",apptus.com
10,what is apptus,1,1,,20,https://www.apptus.com/,9,7,,1/22/2020 19:22,,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
11,apptus careers,5,4,12/21/2019 23:06,60,https://www.apptus.com/career,3,4.5,,1/21/2020 7:30,,People also ask,apptus.com
12,apptus technologies,1,1,,10,https://www.apptus.com/,7,4,6,1/14/2020 6:20,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Image pack",apptus.com
13,apttus,16,17,1/20/2020 18:20,7100,https://www.apptus.com/,12,3.8,4.5,1/22/2020 21:19,,"Adwords top, Sitelinks, People also ask, Tweet box, Top stories, Thumbnail",apptus.com
14,apptus logo,2,2,,30,https://www.apptus.com/,3,3.6,,12/26/2019 12:56,,"Image pack, Sitelinks",apptus.com
15,apptus careers,7,7,,60,https://www.apptus.com/career-apptus-de,3,2.9,,1/21/2020 7:30,,People also ask,apptus.com
16,what is apptus,3,3,,20,https://www.apptus.com/about,9,2.4,,1/22/2020 19:22,,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
17,esales,12,12,,700,https://www.apptus.com/,6,2.2,0.8,1/19/2020 2:57,,"Adwords top, Sitelinks, Top stories, Thumbnail",apptus.com
18,apttus wiki,12,12,,150,https://www.apptus.com/about,12,2.1,16,1/10/2020 11:09,,"People also ask, Image pack",apptus.com
19,all about e,20,20,,1400,https://www.apptus.com/blog,1,2,0.1,1/17/2020 13:45,,"Knowledge card, Sitelinks, Top stories, Thumbnail",apptus.com
20,esales,13,25,1/10/2020 21:36,700,https://www.apptus.com/solutions/esales-apps,6,1.8,0.8,1/19/2020 2:57,,"Adwords top, Sitelinks, Top stories, Thumbnail",apptus.com
21,products banners,11,11,,80,https://www.apptus.com/solutions/banner-ads,0,1.7,7,12/25/2019 14:45,,Image pack,apptus.com
22,apttus wiki,13,13,,150,https://www.apptus.com/,12,1.7,16,1/10/2020 11:09,,"People also ask, Image pack",apptus.com
23,long tail graph,1,1,,50,https://www.apptus.com/blog/the-long-tail-and-the-head-care-for-both/,27,1.5,,12/23/2019 9:13,Image pack,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
24,banner ads,37,34,1/18/2020 8:27,5600,https://www.apptus.com/solutions/banner-ads,42,0.96,7,1/21/2020 5:53,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",apptus.com
25,apttus address,14,14,,80,https://www.apptus.com/,7,0.83,,1/16/2020 17:52,,"People also ask, Video",apptus.com
26,apptus logo,1,1,,30,https://www.apptus.com/about,3,0.82,,12/26/2019 12:56,Image pack,"Image pack, Sitelinks",apptus.com
27,apptus logo,1,1,,30,https://www.apptus.com/,3,0.82,,12/26/2019 12:56,Image pack,"Image pack, Sitelinks",apptus.com
28,apptus logo,1,1,,30,https://www.apptus.com/partners,3,0.82,,12/26/2019 12:56,Image pack,"Image pack, Sitelinks",apptus.com
29,apptus logo,1,1,,30,https://www.apptus.com/news/apptus-and-na-kd-at-internetretailing-conference,3,0.82,,12/26/2019 12:56,Image pack,"Image pack, Sitelinks",apptus.com
30,esale,18,18,,500,https://www.apptus.com/,21,0.52,0.7,1/22/2020 7:13,,"Adwords top, Sitelinks, Top stories, Thumbnail",apptus.com
31,adlibris books,15,18,12/16/2019 10:00,60,https://www.apptus.com/case-studies/trend-sensitive-category-lists-proves-invaluable-to-retailer,2,0.52,0.3,1/15/2020 22:17,,"Adwords top, Sitelinks, People also ask",apptus.com
32,ecommerice,16,16,,80,https://www.apptus.com/resources/personalisation-isnt-everything,0,0.51,,12/29/2019 18:21,,"Image pack, Video",apptus.com
33,apttus ecommerce,12,12,,30,https://www.apptus.com/,0,0.47,,12/25/2019 13:41,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack, Adwords bottom",apptus.com
34,apttus wikipedia,13,13,,40,https://www.apptus.com/about,12,0.44,,1/16/2020 9:09,,People also ask,apptus.com
35,apttus wikipedia,14,14,,40,https://www.apptus.com/,12,0.35,,1/16/2020 9:09,,People also ask,apptus.com
36,martina hansen,15,27,12/2/2019 11:43,40,https://www.apptus.com/blog/author/martina-hansen,0,0.34,,1/1/2020 4:19,,Image pack,apptus.com
37,long tail products,8,8,,80,https://www.apptus.com/blog/the-long-tail-and-the-head-care-for-both/,22,0.3,,12/27/2019 2:20,Image pack,"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories, Adwords bottom",apptus.com
38,product exposure,17,18,12/18/2019 13:57,50,https://www.apptus.com/solutions/exposure-strategies,5,0.25,,1/18/2020 22:04,,"Featured snippet, Thumbnail, People also ask, Sitelinks",apptus.com
39,short head long tail,16,16,,40,https://www.apptus.com/blog/the-long-tail-and-the-head-care-for-both/,12,0.24,,1/11/2020 22:33,,"Featured snippet, Thumbnail, Image pack, People also ask, Top stories",apptus.com
40,apttus logo,4,4,,80,https://www.apptus.com/about,32,0.19,,1/19/2020 12:53,Sitelinks,"Sitelinks, People also ask",apptus.com
41,apttus logo,4,4,,80,https://www.apptus.com/career,32,0.19,,1/19/2020 12:53,Sitelinks,"Sitelinks, People also ask",apptus.com
42,apttus logo,4,4,,80,https://www.apptus.com/contact,32,0.19,,1/19/2020 12:53,Sitelinks,"Sitelinks, People also ask",apptus.com
43,what is apptus,1,1,,20,https://www.apptus.com/about,9,0.18,,1/22/2020 19:22,Sitelinks,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
44,what is apptus,1,1,,20,https://www.apptus.com/contact,9,0.18,,1/22/2020 19:22,Sitelinks,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
45,what is apptus,1,1,,20,https://www.apptus.com/career,9,0.18,,1/22/2020 19:22,Sitelinks,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
46,what is apptus,1,1,,20,https://www.apptus.com/academy,9,0.18,,1/22/2020 19:22,Sitelinks,"Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
47,long tail graph,19,15,11/26/2019 23:15,50,https://www.apptus.com/blog/the-long-tail-and-the-head-care-for-both/,27,0.17,,12/23/2019 9:13,,"Image pack, Sitelinks, People also ask, Top stories, Thumbnail",apptus.com
