#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
1,klaviyo,1,1,,20000,https://www.klaviyo.com/,19,7695,5,1/21/2020 21:40,,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
2,klaviyo login,1,1,,700,https://www.klaviyo.com/login,8,202,,1/19/2020 16:59,,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
3,klavio,1,1,,1500,https://www.klaviyo.com/,18,195,2.5,1/17/2020 14:38,,"Adwords top, Sitelinks, Tweet box, People also ask",klavio.com
4,klayvio,1,1,,1300,https://www.klaviyo.com/,15,162,4,1/14/2020 11:19,,"Adwords top, Sitelinks, Tweet box, People also ask, Video",klavio.com
5,klaviyo,1,1,,20000,https://www.klaviyo.com/features/overview,19,143,5,1/21/2020 21:40,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
6,klaviyo,1,1,,20000,https://www.klaviyo.com/login,19,143,5,1/21/2020 21:40,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
7,klaviyo,1,1,,20000,https://www.klaviyo.com/features/ecommerce-marketing-automation,19,143,5,1/21/2020 21:40,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
8,klaviyo,1,1,,20000,https://www.klaviyo.com/ecommerce-integrations/shopify,19,143,5,1/21/2020 21:40,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
9,klaviyo,1,1,,20000,https://www.klaviyo.com/features/klaviyo-vs-mailchimp,19,143,5,1/21/2020 21:40,Sitelinks,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com
10,klaviyo vs mailchimp,2,2,,450,https://www.klaviyo.com/features/klaviyo-vs-mailchimp,3,129,,12/31/2019 17:20,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Video, Image pack, Adwords bottom",klavio.com
11,klaviyo careers,1,1,,400,https://www.klaviyo.com/careers,0,110,,1/11/2020 23:57,,Image pack,klavio.com
