#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
1,monetate,1,1,,3400,https://monetate.com/,9,1051,20,1/22/2020 17:43,,"Adwords top, Sitelinks, People also ask",monetate.com
2,ecommerce personalization,1,4,11/28/2019 20:28,150,https://monetate.com/glossary/ecommerce-personalization/,15,59,30,12/26/2019 8:21,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com
3,tablet vs smartphone,1,1,,150,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,9,58,25,12/31/2019 12:37,Featured snippet,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Video, Shopping results",monetate.com
4,add to cart,9,11,1/20/2020 17:12,3100,https://monetate.com/glossary/add-to-cart-rate/,8,50,2.5,1/22/2020 23:02,,"Featured snippet, Thumbnail, People also ask",monetate.com
5,tablet vs phone,1,1,,150,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,9,49,3,1/18/2020 6:04,Featured snippet,"Adwords top, Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video",monetate.com
6,smartphone vs tablet,1,1,,100,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,42,0.25,1/7/2020 18:19,Featured snippet,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video",monetate.com
7,monetate careers,1,1,,90,https://monetate.com/about/careers/,3,33,,12/29/2019 19:05,,"Adwords top, Sitelinks, People also ask",monetate.com
8,phone vs tablet,1,1,,70,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,10,27,,1/1/2020 3:19,Featured snippet,"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks",monetate.com
9,monetate inc,1,1,,80,https://monetate.com/,7,26,,1/4/2020 3:22,,"Adwords top, Sitelinks, People also ask, Thumbnail, Video, Image pack",monetate.com
10,smartphone or tablet,1,1,,60,https://monetate.com/blog/smartphones-vs-tablets-forrester-reveals-the-differences/,12,22,,1/10/2020 20:01,Featured snippet,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack",monetate.com
11,omnichannel personalization,1,1,,50,https://monetate.com/glossary/omnichannel-personalization/,2,20,25,1/2/2020 16:57,,"Adwords top, Top stories, Thumbnail, Image pack, Adwords bottom, Sitelinks",monetate.com
12,monetate,1,1,,3400,https://monetate.com/about/careers/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
13,monetate,1,1,,3400,https://monetate.com/about/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
14,monetate,1,1,,3400,https://monetate.com/blog/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
15,monetate,1,1,,3400,https://monetate.com/personalization-engine/1-to-1-personalization/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
16,monetate,1,1,,3400,https://monetate.com/about/leadership/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
17,monetate,1,1,,3400,https://monetate.com/services/,9,19,20,1/22/2020 17:43,Sitelinks,"Adwords top, Sitelinks, People also ask",monetate.com
18,monetate jobs,1,1,,40,https://monetate.com/about/careers/,4,15,,1/19/2020 17:23,,"Sitelinks, People also ask, Thumbnail",monetate.com
