#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
1,springbot,1,1,,5000,https://www.springbot.com/,10,1588,1.3,1/22/2020 16:38,,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
2,spring bot,1,1,,450,https://www.springbot.com/,10,57,2.5,1/5/2020 22:45,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",springbot.com
3,springbot atlanta,1,1,,100,https://www.springbot.com/,7,40,,1/9/2020 1:27,,"Adwords top, Sitelinks, Tweet box, Video, Image pack",springbot.com
4,springbot,1,1,,5000,https://www.springbot.com/our-story/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
5,springbot,1,1,,5000,https://www.springbot.com/our-story/careers/hiring/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
6,springbot,1,1,,5000,https://www.springbot.com/our-story/careers/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
7,springbot,1,1,,5000,https://www.springbot.com/our-story/contact-us/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
8,springbot,1,1,,5000,https://www.springbot.com/pricing/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
9,springbot,1,1,,5000,https://www.springbot.com/faqs/,10,29,1.3,1/22/2020 16:38,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",springbot.com
10,springbot reviews,8,8,,400,https://www.springbot.com/2013/07/springbot-customer-reviews/,0,20,,1/23/2020 3:27,,Video,springbot.com
11,springbot login,1,1,,60,https://www.springbot.com/,5,19,,1/15/2020 11:18,,"Sitelinks, Video, Image pack",springbot.com
12,springbot atlanta,2,2,,100,https://www.springbot.com/our-story/careers/,7,18,,1/9/2020 1:27,,"Adwords top, Sitelinks, Tweet box, Video, Image pack",springbot.com
13,springbot careers,1,1,,50,https://www.springbot.com/our-story/careers/,0,17,,1/2/2020 2:05,,"Sitelinks, Image pack, Video",springbot.com
14,springbot atlanta,3,3,,100,https://www.springbot.com/our-story/careers/hiring/,7,14,,1/9/2020 1:27,,"Adwords top, Sitelinks, Tweet box, Video, Image pack",springbot.com
15,ecommerce industries,2,1,12/21/2019 20:37,70,https://www.springbot.com/2017/08/fastest-growing-ecommerce-industries/,41,10,0.8,1/21/2020 21:50,,People also ask,springbot.com
16,campaign services,1,2,11/26/2019 9:20,30,https://www.springbot.com/features/campaign-services/,3,10,,12/24/2019 0:17,,"Adwords bottom, Sitelinks",springbot.com
17,atlanta bot,14,14,,2300,https://www.springbot.com/our-story/events/,2,10,0.5,1/21/2020 17:10,,"Sitelinks, Top stories, Thumbnail",springbot.com
18,referral bot,5,8,11/27/2019 13:15,100,https://www.springbot.com/our-story/springbots-refer-friend-program/,0,9,,12/24/2019 21:17,,"Top stories, Thumbnail, Image pack",springbot.com
19,selling on instagram 2016,1,7,12/1/2019 18:05,20,https://www.springbot.com/2016/09/7-reasons-selling-instagram-get-started/,24,9,2,12/30/2019 16:22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",springbot.com
20,irce 2017,12,12,,700,https://www.springbot.com/2017/06/5-springbot-takeaways-irce-2017/,0,8,,1/21/2020 22:49,,"Featured snippet, Thumbnail, Top stories, Sitelinks",springbot.com
21,shopspring customer service,5,5,,100,https://www.springbot.com/,78,8,1.4,1/6/2020 13:14,,Sitelinks,springbot.com
22,actionable results,3,4,12/12/2019 18:00,60,https://www.springbot.com/2018/01/five-focus-areas-turn-data-actionable-results/,0,8,,1/12/2020 10:01,,"Featured snippet, Thumbnail, People also ask, Top stories, Video",springbot.com
23,practical ecommerce,11,9,12/10/2019 0:01,400,https://www.springbot.com/2018/04/practical-ecommerce-product-release-roundup/,2,6,11,1/10/2020 2:41,,"Sitelinks, Tweet box, Top stories, Thumbnail, Image pack",springbot.com
24,athletic apparel industry,10,10,,250,https://www.springbot.com/2018/06/top-ecommerce-trends-for-the-athletic-apparel-industry/,9,5,2,1/5/2020 17:43,,"People also ask, Knowledge panel",springbot.com
25,smart glass jewelry,9,9,,100,https://www.springbot.com/2018/05/smart-glass-jewelry-scales-subscriber-list-with-audience-expander/,0,3.7,,1/19/2020 10:47,,"Sitelinks, Video",springbot.com
26,smartglass jewelry,9,12,12/14/2019 19:19,100,https://www.springbot.com/2018/05/smart-glass-jewelry-scales-subscriber-list-with-audience-expander/,0,3,,1/14/2020 13:04,,"Sitelinks, Video, Image pack, Shopping results, Thumbnail",springbot.com
27,declan and crew,11,11,,1000,https://www.springbot.com/success-stories/declan-crew/,0,2.8,,1/21/2020 20:44,,Sitelinks,springbot.com
28,journey promo codes 2015,8,15,12/17/2019 9:01,70,https://www.springbot.com/2015/11/springbot-enables-ecommerce-merchants-easily-track-revenue-roi-generated-promotion-codes/,20,2.7,,1/16/2020 20:03,,"Video, People also ask",springbot.com
29,deloitte ranking,11,12,12/17/2019 0:55,150,https://www.springbot.com/2019/11/deloitte-2019-ranking/,12,2.6,,1/16/2020 19:12,,"People also ask, Sitelinks",springbot.com
30,identity matching,8,8,,60,https://www.springbot.com/2018/07/four-ways-to-use-identity-matching/,1,2.5,,1/19/2020 15:12,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom, Knowledge panel",springbot.com
31,brooks robinson springbot,2,2,,20,https://www.springbot.com/2016/08/co-founder-ceo-brooks-robinson-talks-culture-entrepreneurship-ecommerce-marketing-tips/,0,2.4,6,12/28/2019 5:40,,"Top stories, Thumbnail, Image pack",springbot.com
32,ecommerce strategies,15,10,12/5/2019 20:43,300,https://www.springbot.com/2017/01/top-5-ecommerce-strategies-2017/,15,2.4,17,1/4/2020 14:03,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",springbot.com
33,athletic apparel trends,3,5,12/18/2019 21:00,20,https://www.springbot.com/2018/06/top-ecommerce-trends-for-the-athletic-apparel-industry/,3,2.3,,1/18/2020 14:42,,"Top stories, Thumbnail, People also ask",springbot.com
34,referral link bot online,3,2,12/13/2019 5:37,20,https://www.springbot.com/our-story/springbots-refer-friend-program/,0,2.2,,1/13/2020 10:21,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",springbot.com
35,refreshing products,11,16,12/1/2019 6:31,100,https://www.springbot.com/2017/03/6-tips-refreshing-product-pages/,1,2.2,0.25,12/30/2019 23:35,,"Shopping results, Thumbnail, Featured snippet, Sitelinks, Top stories, Image pack",springbot.com
36,promotional code 2015,13,13,,150,https://www.springbot.com/2015/11/springbot-enables-ecommerce-merchants-easily-track-revenue-roi-generated-promotion-codes/,30,2.1,,1/5/2020 9:46,,"People also ask, Top stories, Thumbnail, Image pack",springbot.com
37,promotion code 2015,13,19,12/7/2019 17:56,150,https://www.springbot.com/2015/11/springbot-enables-ecommerce-merchants-easily-track-revenue-roi-generated-promotion-codes/,31,2.1,,1/7/2020 17:14,,"People also ask, Video, Image pack",springbot.com
38,what is adroll,16,15,12/11/2019 3:53,400,https://www.springbot.com/2019/02/5-reasons-ecommerce-smbs-leverage-adroll-drive-sales/,37,2.1,3,1/11/2020 5:55,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Tweet box",springbot.com
