,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
388,se automation,95,40,1,,"Sitelinks, Top stories, Thumbnail",apptus.com,40.0
3255,automatic slideshow html,63,300,16,,"Top stories, Thumbnail, People also ask",bannersnack.com,18.75
10593,gartner magic quadrant marketing automation,30,80,3,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",evergage.com,26.666666666666668
11564,marketing automation magic quadrant,45,30,3,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",evergage.com,10.0
14939,marketing automation jobs,14,70,1,,"Adwords top, Sitelinks, Image pack",klavio.com,70.0
15351,automation game guide,24,200,1,,"Top stories, Thumbnail",klavio.com,200.0
15649,marketing automation job description,18,20,1,,"Featured snippet, People also ask, Image pack",klavio.com,20.0
15879,marketing automation manager salary,27,100,1,,"Featured snippet, Image pack",klavio.com,100.0
15895,marketing automation benefits,24,50,10,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack",klavio.com,5.0
15977,automatic templates,25,50,4,,"People also ask, Top stories, Thumbnail, Sitelinks",klavio.com,12.5
16242,marketing automation manager job description,26,30,1,,"Featured snippet, People also ask, Image pack, Adwords bottom, Sitelinks",klavio.com,30.0
16395,marketing automation manager,33,100,1,,"Adwords top, Sitelinks, Video, Adwords bottom, Knowledge panel",klavio.com,100.0
16410,benefits of marketing automation,33,100,10,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",klavio.com,10.0
16590,automatic shoelace tier,27,20,27,,"Top stories, Thumbnail, People also ask, Sitelinks, Shopping results",klavio.com,0.7407407407407407
16675,marketing automation consultant salary,27,20,1,,"Adwords top, Sitelinks, Featured snippet, Image pack",klavio.com,20.0
17098,automatic crunchbase,33,20,2,,"Sitelinks, Image pack",klavio.com,10.0
17600,text message automation,40,40,13,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,3.076923076923077
17880,mailchimp automation pricing,42,40,28,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",klavio.com,1.4285714285714286
17913,app marketing automation,43,40,11,,"Adwords bottom, Sitelinks",klavio.com,3.6363636363636362
17973,marketing automation engineer,38,10,1,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,10.0
17980,does mailchimp automatically remove duplicates,42,30,4,,"Featured snippet, Thumbnail, People also ask, Video",klavio.com,7.5
18422,marketing automation salary,47,40,1,,"Featured snippet, People also ask, Image pack, Video",klavio.com,40.0
18636,marketing automation case study,44,10,4,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom",klavio.com,2.5
18851,automation career,54,80,7,,"People also ask, Top stories, Thumbnail",klavio.com,11.428571428571429
18995,automation the game,55,80,15,,"Top stories, Thumbnail, Sitelinks, Video, Image pack",klavio.com,5.333333333333333
19180,automatic birthday emails,50,20,3,,"Top stories, Thumbnail, People also ask",klavio.com,6.666666666666667
19264,marketing automation specialist job description,54,40,1,,"Featured snippet, People also ask, Image pack",klavio.com,40.0
19335,newsletter automation,54,40,25,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,1.6
19409,sending automated text messages,52,20,15,,"Adwords top, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom, Sitelinks",klavio.com,1.3333333333333333
19413,can i send automated text messages,51,20,5,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,4.0
19430,marketing automation certification,56,50,2,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,25.0
