,Intent,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
468,H,creative banner,36,5500,1,,"Top stories, Thumbnail",bannersnack.com,5500
481,H,web banner,9,4900,20,,"Top stories, Thumbnail, Video, People also ask",bannersnack.com,245
517,H,halloween banner,13,3900,1,,"Top stories, Thumbnail, Video",bannersnack.com,3900
91,M,what is banner advertising,30,50,34,,People also ask,apptus.com,1.470588235
32742,H,2048x1152 banner,13,2400,38,,"Top stories, Thumbnail, People also ask",visme.co,63.15789474
644,H,vertical banner,27,2200,1,,"Shopping results, Thumbnail, Adwords top, People also ask, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,2200
667,H,banner software,35,2100,2,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,1050
129,M,what is a web banner,39,60,21,,"Top stories, Thumbnail, People also ask, Sitelinks",apptus.com,2.857142857
684,H,sale banner,20,2000,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom",bannersnack.com,2000
35222,H,banner recipe,32,1900,17,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask",visme.co,111.7647059
147,N,as seen on banner,42,80,2,,"Image pack, Video, Shopping results, Thumbnail",apptus.com,40
753,H,banner ideas,3,1700,1,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Top stories, People also ask",bannersnack.com,1700
808,H,holiday banner,25,1500,1,,"Top stories, Thumbnail",bannersnack.com,1500
846,H,etsy banner,4,1400,4,,"Top stories, Thumbnail, People also ask, Video, Knowledge panel",bannersnack.com,350
38389,H,banner templates,46,1400,37,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Shopping results",visme.co,37.83783784
191,N,banner shops,45,20,12,,"Image pack, People also ask",apptus.com,1.666666667
34756,H,website banners,39,1300,34,,"Sitelinks, People also ask, Top stories, Thumbnail",visme.co,38.23529412
1055,H,web banners,4,1000,16,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask",bannersnack.com,62.5
1112,H,vertical banners,38,900,6,,"Shopping results, Thumbnail, Sitelinks, People also ask, Knowledge panel",bannersnack.com,150
1319,H,car banner,19,700,3,,"Shopping results, Thumbnail, Sitelinks, Top stories, Adwords bottom",bannersnack.com,233.3333333
1340,H,web banner design,5,700,22,,"Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,31.81818182
1349,H,real estate banner,9,600,1,,"Adwords top, Sitelinks, Video, Knowledge panel",bannersnack.com,600
1373,H,halloween banners,15,600,1,,"Top stories, Thumbnail, Video",bannersnack.com,600
235,L,what are banner adverts,62,80,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",apptus.com,2.105263158
1393,H,food banner,11,600,1,,"Top stories, Thumbnail",bannersnack.com,600
1408,H,banner medical,53,600,19,,"Sitelinks, People also ask",bannersnack.com,31.57894737
1478,H,black friday banner,1,600,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,600
1482,H,sports banner,29,600,8,,"Shopping results, Thumbnail, Adwords top, Top stories, Adwords bottom, Sitelinks, Knowledge panel",bannersnack.com,75
1592,H,banner recipes,14,500,12,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,41.66666667
298,N,banner live,69,10,2,,"Sitelinks, Top stories, Thumbnail",apptus.com,5
304,M,in banner advertising,72,20,33,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",apptus.com,0.606060606
311,L,banner add,78,60,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",apptus.com,1.818181818
1636,H,creative banners,9,500,14,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,35.71428571
321,L,email banner ads,76,20,8,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",apptus.com,2.5
334,M,what is a banner ad?,85,70,32,,"People also ask, Sitelinks, Top stories, Thumbnail, Image pack",apptus.com,2.1875
370,L,best animated banner ads,85,20,11,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",apptus.com,1.818181818
371,M,best web banner design,85,10,21,,"Image pack, Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks",apptus.com,0.476190476
375,M,display banner advertising,87,20,15,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom, Image pack",apptus.com,1.333333333
1643,H,book banner,40,500,1,,"Shopping results, Thumbnail, Top stories, Sitelinks, Knowledge panel",bannersnack.com,500
1666,H,winter banner,29,500,1,,"Top stories, Thumbnail, Knowledge panel",bannersnack.com,500
