,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
468,creative banner,36,5500,1,,"Top stories, Thumbnail",bannersnack.com,5500.0
523,mood board creator,5,3700,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,112.12121212121212
647,creator of roblox,40,2200,22,,"People also ask, Sitelinks, Top stories, Thumbnail, Image pack",bannersnack.com,100.0
659,create transparent background,82,2100,28,,"Adwords top, Featured snippet, Thumbnail, Sitelinks, People also ask, Top stories",bannersnack.com,75.0
719,create a slideshow,8,1800,36,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Image pack",bannersnack.com,50.0
802,create video from photos,27,1500,35,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Adwords bottom",bannersnack.com,42.857142857142854
813,creative ads,31,1500,37,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,40.54054054054054
820,ad creator,9,1400,31,Top stories,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,45.16129032258065
857,how to create a slideshow,24,1400,25,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,56.0
914,create slideshow with music,23,1200,29,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,41.37931034482759
944,creative management,68,1200,4,,Sitelinks,bannersnack.com,300.0
970,creative websites,24,1100,26,,"Featured snippet, Thumbnail, Sitelinks, People also ask",bannersnack.com,42.30769230769231
1194,"which ad format is easiest to create and edit, and has the widest reach on the display network?",64,800,1,,"Adwords top, People also ask",bannersnack.com,800.0
1216,moodboard creator,4,800,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,29.62962962962963
1397,create text image,79,600,34,,"Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,17.647058823529413
1469,how to create an etsy shop,19,600,28,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories",bannersnack.com,21.428571428571427
1477,create an ad,2,600,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",bannersnack.com,17.142857142857142
1502,how to create a slideshow with music,33,600,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video",bannersnack.com,27.272727272727273
1532,creative posters,101,600,18,Knowledge panel,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,33.333333333333336
1591,create advertising,5,500,11,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,45.45454545454545
1636,creative banners,9,500,14,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,35.714285714285715
1680,how to create a podcast on itunes,63,500,14,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,35.714285714285715
1682,create a slideshow with music,30,500,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video",bannersnack.com,18.51851851851852
1692,creative poster ideas,3,500,9,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Top stories",bannersnack.com,55.55555555555556
1703,which website created the term cyber monday,56,500,30,,"People also ask, Sitelinks, Image pack",bannersnack.com,16.666666666666668
1718,create x,75,500,3,,"Sitelinks, Tweet box, Top stories, Thumbnail, Image pack",bannersnack.com,166.66666666666666
1727,creativebanner,64,500,1,,"Top stories, Thumbnail, Image pack, Video",bannersnack.com,500.0
1765,creat your own ecard,15,500,21,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",bannersnack.com,23.80952380952381
1856,food web creator,58,450,1,,"Adwords top, Sitelinks, People also ask, Knowledge panel",bannersnack.com,450.0
1916,keep calm creator,7,450,15,,"Sitelinks, People also ask, Video, Knowledge panel",bannersnack.com,30.0
2055,create album cover online free,87,400,16,,"Featured snippet, Thumbnail, Top stories, People also ask",bannersnack.com,25.0
2075,top patreon creators,74,400,40,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Video",bannersnack.com,10.0
2105,create your own animation,60,400,39,,"Adwords top, Video, Sitelinks, People also ask",bannersnack.com,10.256410256410257
2107,how to create transparent background,74,400,23,,"Featured snippet, Thumbnail, Sitelinks, Top stories",bannersnack.com,17.391304347826086
2120,how to create a transparent background,78,400,23,,"Featured snippet, People also ask, Top stories, Thumbnail, Sitelinks",bannersnack.com,17.391304347826086
2134,create a bookmark,4,400,14,,"People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,28.571428571428573
2168,create your own birthday card,25,400,30,,"Shopping results, Thumbnail, Featured snippet, Sitelinks, People also ask, Top stories, Image pack",bannersnack.com,13.333333333333334
2169,creative typography,100,400,8,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,50.0
2181,creative banner displays,31,400,1,,"Adwords top, Sitelinks, Image pack, Video",bannersnack.com,400.0
