,Intent,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
29391,M,ecommerce marketing,84,1600,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",springbot.com,48.48484848
14503,M,ecommerce trends,16,800,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",klavio.com,26.66666667
125,N,ecommerce site search solutions,33,20,3,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Adwords bottom",apptus.com,6.666666667
130,N,ecommerce navigation,34,20,6,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",apptus.com,3.333333333
133,N,ecommerce search solutions,33,10,3,,"Adwords top, Sitelinks, Adwords bottom",apptus.com,3.333333333
22450,M,future of ecommerce,89,400,24,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack, Adwords bottom",klavio.com,16.66666667
159,N,ikea ecommerce,41,30,3,,"Adwords top, Sitelinks, Top stories, Thumbnail, Knowledge panel",apptus.com,10
178,L,ecommerce site search best practices,39,10,11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, Adwords bottom",apptus.com,0.909090909
189,N,mecommerce,48,50,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",apptus.com,50
28186,M,ecommerce strategies,15,300,15,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",springbot.com,20
199,N,director ecommerce,51,40,1,,"People also ask, Knowledge panel",apptus.com,40
218,N,ecommerce search software,50,10,25,,"Adwords top, Sitelinks, People also ask, Adwords bottom",apptus.com,0.4
222,N,synonyms for ecommerce,53,20,1,,"Featured snippet, People also ask, Thumbnail",apptus.com,20
229,N,ecommerce analysis,56,30,11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",apptus.com,2.727272727
28383,M,ecommerce trends 2018,30,250,39,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",springbot.com,6.41025641
247,N,ecommerce site search,63,50,13,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",apptus.com,3.846153846
256,N,ecommerce synonym,61,20,1,,"Featured snippet, People also ask",apptus.com,20
284,N,ecommerce managers,82,500,2,,"Featured snippet, Thumbnail, People also ask, Top stories",apptus.com,250
287,N,mecommerce inc,69,20,1,,"Sitelinks, Image pack",apptus.com,20
291,N,ecommerce synonyms,76,100,1,,"Featured snippet, People also ask",apptus.com,100
196,M,ecommerce merchandising,56,200,4,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories",apptus.com,50
21604,M,ecommerce marketing strategy,79,200,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",klavio.com,7.407407407
338,N,ecommerce search best practices,78,10,7,,"Knowledge card, Adwords bottom, Sitelinks",apptus.com,1.428571429
6334,L,social media ecommerce,77,150,25,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",bannersnack.com,6
7545,N,social ecommerce,93,150,35,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Adwords bottom, Image pack",bannersnack.com,4.285714286
7721,N,what is ecommerce marketing,86,100,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,3.333333333
21836,M,what is ecommerce marketing,80,200,20,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Adwords bottom",klavio.com,10
10195,N,vistaprint ecommerce,13,10,13,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",evergage.com,0.769230769
27595,H,ecommerce optimization,100,200,24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",monetate.com,8.333333333
11016,N,gartner magic quadrant ecommerce,36,40,15,,"Adwords top, Sitelinks, Knowledge panel",evergage.com,2.666666667
11057,N,mitx ecommerce summit,23,20,1,Image pack,"Image pack, Video",evergage.com,20
16348,M,ecommerce integration,34,150,4,,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom",klavio.com,37.5
18453,M,ecommerce funnel,51,150,12,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,12.5
20000,M,ecommerce sales funnel,66,150,16,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",klavio.com,9.375
26358,M,ecommerce experience,44,150,22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",monetate.com,6.818181818
12997,N,texas ecommerce summit,71,20,1,,Video,evergage.com,20
27635,H,ecommerce personalization,101,150,15,Knowledge panel,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com,10
14057,N,ecommerce summit,96,60,13,,"Sitelinks, Top stories, Thumbnail, Adwords bottom",evergage.com,4.615384615
29403,M,ecommerce user experience,66,150,12,,"Adwords top, Sitelinks, Image pack",springbot.com,12.5
14647,L,ecommerce influence,9,100,6,,Sitelinks,klavio.com,16.66666667
