,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
573,animated text generator,38,2900,19,,"People also ask, Top stories, Thumbnail, Video, Knowledge panel",bannersnack.com,152.6315789473684
602,keep calm generator,5,2500,13,,"Sitelinks, People also ask, Video",bannersnack.com,192.30769230769232
869,keep calm meme generator,15,1300,13,,"Sitelinks, People also ask",bannersnack.com,100.0
903,fake newspaper generator,87,1300,40,,People also ask,bannersnack.com,32.5
1311,css animation generator,99,700,40,,Sitelinks,bannersnack.com,17.5
1535,hope poster generator,79,600,8,,"Image pack, Top stories, Thumbnail",bannersnack.com,75.0
1553,text gif generator,24,500,30,,"People also ask, Knowledge panel",bannersnack.com,16.666666666666668
1563,the generator,80,500,26,,"Sitelinks, Top stories, Thumbnail",bannersnack.com,19.23076923076923
1671,campaign sign generator,25,500,12,,,bannersnack.com,41.666666666666664
1697,marked safe generator,83,500,1,,People also ask,bannersnack.com,500.0
1812,baby picture generator,90,450,17,,"Sitelinks, Image pack",bannersnack.com,26.470588235294116
1969,ad generator,2,450,20,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,22.5
2160,black friday generator deals,32,400,5,,"Shopping results, Thumbnail, Sitelinks, Top stories, Image pack, Video, Adwords bottom",bannersnack.com,80.0
2291,tip generator,20,400,19,,"People also ask, Top stories, Thumbnail",bannersnack.com,21.05263157894737
2333,gif text generator,33,400,27,,People also ask,bannersnack.com,14.814814814814815
2415,political sign generator,24,350,13,,"Adwords top, Sitelinks, Image pack, Adwords bottom",bannersnack.com,26.923076923076923
2529,text effects generator,79,350,37,,"Sitelinks, Top stories, Thumbnail",bannersnack.com,9.45945945945946
2608,animated writing text generator,40,350,17,,"People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Sitelinks",bannersnack.com,20.58823529411765
2693,tavern menu generator,18,350,5,Image pack,"Image pack, Video",bannersnack.com,70.0
2931,stand stats generator,76,300,2,,"Image pack, Top stories, Thumbnail, Video",bannersnack.com,150.0
2946,nike ad generator,55,300,1,,"Video, Knowledge panel",bannersnack.com,300.0
3045,wallpapers generator,49,300,24,,"Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,12.5
3307,baby photo generator,100,300,17,,"Sitelinks, Top stories, Thumbnail, Image pack, Video",bannersnack.com,17.647058823529413
