,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
456,moodboard maker,5,6500,27,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,240.74074074074073
499,best slideshow maker,57,4300,31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,138.70967741935485
552,best gif maker,36,3100,38,,"Knowledge card, People also ask, Top stories, Thumbnail, Video",bannersnack.com,81.57894736842105
619,ad maker,1,2300,26,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",bannersnack.com,88.46153846153847
747,free label maker,9,1700,38,,"Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,44.73684210526316
757,photo video maker,44,1700,22,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Image pack, Adwords bottom",bannersnack.com,77.27272727272727
780,label maker software,38,1600,14,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom, Knowledge panel",bannersnack.com,114.28571428571429
824,slideshow video maker,20,1400,32,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",bannersnack.com,43.75
868,mood board maker,4,1300,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,39.39393939393939
908,keep calm maker,3,1300,13,,"Sitelinks, People also ask, Knowledge panel",bannersnack.com,100.0
1016,gif text maker,24,1100,26,,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,42.30769230769231
1039,free online slideshow maker with music and effects,12,1100,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack, Adwords bottom",bannersnack.com,31.428571428571427
1057,free label maker software,21,1000,31,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,32.25806451612903
1068,text gif maker,27,1000,26,,"People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,38.46153846153846
1157,online magazine maker,88,800,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",bannersnack.com,22.857142857142858
1204,animated logo maker,85,800,12,,"Adwords top, Sitelinks, Top stories, Thumbnail, Video, Knowledge panel",bannersnack.com,66.66666666666667
1231,stand stats maker,45,700,3,,"Top stories, Thumbnail",bannersnack.com,233.33333333333334
1275,baby picture maker,64,700,24,,"Sitelinks, Video",bannersnack.com,29.166666666666668
1296,graduation invitation maker,53,700,20,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom, Shopping results, Thumbnail",bannersnack.com,35.0
1305,commercial maker,8,700,12,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,58.333333333333336
1315,bookmark maker,102,700,8,Knowledge panel,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Knowledge panel",bannersnack.com,87.5
1342,clothing label maker,45,700,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,30.434782608695652
1514,slideshow movie maker,35,600,34,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",bannersnack.com,17.647058823529413
1602,food web maker,74,500,4,,"Top stories, Thumbnail, People also ask",bannersnack.com,125.0
1605,fraction maker,101,500,33,,"Top stories, Thumbnail, People also ask",bannersnack.com,15.151515151515152
1766,free signage maker,30,500,40,,"Sitelinks, Adwords bottom",bannersnack.com,12.5
1950,etsy banner maker,3,450,6,,"People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,75.0
2056,pumpkin stencil maker,68,400,10,,"Top stories, Thumbnail, People also ask",bannersnack.com,40.0
2091,gif wallpaper maker,9,400,33,,"People also ask, Sitelinks, Image pack, Top stories, Thumbnail",bannersnack.com,12.121212121212121
2142,keep calm meme maker,6,400,15,,"Sitelinks, Image pack, Video",bannersnack.com,26.666666666666668
2183,poster maker software,29,400,26,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,15.384615384615385
2286,keep calm app maker,71,400,14,Image pack,"Sitelinks, Image pack, Video",bannersnack.com,28.571428571428573
2290,small text maker,81,400,14,,"People also ask, Video, Image pack",bannersnack.com,28.571428571428573
2375,google flyer maker,29,350,30,,"Adwords top, Top stories, Thumbnail, Sitelinks, People also ask",bannersnack.com,11.666666666666666
