,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
174,apttus software,43,30,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",apptus.com,3.75
200,apptus software,51,40,24,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",apptus.com,1.6666666666666667
204,snow software wiki,49,20,6,,"People also ask, Sitelinks",apptus.com,3.3333333333333335
216,shopware software,56,60,1,,"Sitelinks, Top stories, Thumbnail, Image pack",apptus.com,60.0
218,ecommerce search software,50,10,25,,"Adwords top, Sitelinks, People also ask, Adwords bottom",apptus.com,0.4
667,banner software,35,2100,2,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,1050.0
780,label maker software,38,1600,14,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom, Knowledge panel",bannersnack.com,114.28571428571429
1057,free label maker software,21,1000,31,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,32.25806451612903
1333,free label printing software,83,700,30,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks",bannersnack.com,23.333333333333332
1350,photo slideshow software,68,600,38,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,15.789473684210526
1355,ads software,98,600,5,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",bannersnack.com,120.0
1850,best photo slideshow software,61,450,37,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,12.162162162162161
2157,best professional slideshow software,45,400,22,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,18.181818181818183
2183,poster maker software,29,400,26,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,15.384615384615385
2827,best photos slideshow software,38,300,34,,"Featured snippet, People also ask, Top stories, Thumbnail",bannersnack.com,8.823529411764707
3140,free label software,38,300,22,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,13.636363636363637
3179,best free label maker software,21,300,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,13.636363636363637
3265,best free photo slideshow software,41,300,31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,9.67741935483871
3600,slide show software freeware,54,250,40,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,6.25
3662,best gif maker software,37,250,39,,"Knowledge card, People also ask, Top stories, Thumbnail",bannersnack.com,6.410256410256411
4114,what is banner software,54,250,2,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,125.0
4517,software to create printables,81,200,3,,"Featured snippet, Thumbnail, Top stories",bannersnack.com,66.66666666666667
4619,free greeting cards software,57,200,28,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,7.142857142857143
5148,magazine maker software free download,62,200,2,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",bannersnack.com,100.0
